TIME,TIME_seconds,VE,Vt,RR,VO2,VO2_kg,VCO2,RER,VE1,VE2,FEO2,FECO2,WorkR,PetCO2,PetO2
 0:04,4,7.540893078,0.25944379,16.57458496,0.336499155,3.118620396,0.157262623,0.843820214,28.10087967,33.53803635,16.7808609,3.681071997,0,29.07840919,123.9485321
 0:09,9,8.043668747,1.311798453,9.375,0.434890598,4.030496597,0.441195697,0.830812812,27.25286102,33.84077835,16.70409584,3.601457119,0,27.07421303,124.4127808
 0:14,14,6.132839203,0.55472827,11.74168205,0.336499155,3.118620396,0.24644199,0.820705116,27.72496796,34.10770798,16.61361694,3.601457119,0,27.19365311,124.598465
 0:18,18,14.92330265,0.43774876,16.57458496,0.482809216,4.474598885,0.361023128,0.838473499,29.53829956,33.1145668,16.97470474,3.681071997,0,28.03701973,128.126709
 0:24,24,18.98332214,0.639125943,9.13242054,0.569885373,5.281606674,0.625909984,0.833405018,27.75782204,33.92351151,16.7808609,3.601457119,0,27.61373711,124.319931
 0:30,30,9.916109085,1.311798453,15.30612373,0.388027132,3.596173525,0.344988942,0.833405018,29.03562737,32.76330566,16.9487915,3.769429207,0,29.01661873,125.8983459
 0:34,34,10.03353024,0.353389621,36.36363602,0.354560554,3.286010742,0.263673902,0.841606617,29.72891235,34.7251358,16.99586105,3.535300255,0,26.48088455,128.126709
 0:36,36,8.043668747,1.032548308,11.74168205,0.354560554,3.286010742,0.20725663,0.830812812,28.75652122,34.16626358,16.81842232,3.592409849,0,27.07421303,125.3412476
 0:42,42,4.583710194,0.686593413,15.30612373,0.315190822,2.921138287,0.157262623,0.823926926,28.19258881,34.7251358,16.76450729,3.464422226,0,25.95237923,124.8770142
 0:49,49,12.12597752,0.978952885,12.76595783,0.524230301,4.858482838,0.441195697,0.820705116,27.8996315,34.16626358,16.61361694,3.557987213,0,27.37330437,124.6912994
 0:55,55,7.479481697,0.282035321,12.19512177,0.302847624,2.806743383,0.244386375,0.830812812,27.61219025,33.84077835,16.66485786,3.607575178,0,27.01459312,124.319931
 1:02,62,10.10819912,0.978952885,9.389671326,0.447752774,4.149701118,0.430726171,0.830147028,28.19258881,34.42232895,16.78243446,3.592409849,0,26.95503235,125.0627136
 1:06,66,10.01579285,0.663938046,19.80198097,0.353069544,3.27219224,0.157262623,0.838473499,29.67889214,33.8351593,16.97470474,3.607575178,0,27.43331337,125.7126465
 1:11,71,7.540893078,0.904593766,15.30612373,0.302847624,2.806743383,0.263673902,0.823926926,26.61397171,35.34856796,16.70611954,3.473546028,0,26.18663216,124.319931
 1:17,77,9.916109085,0.792230487,12.19512177,0.353069544,3.27219224,0.27769649,0.788993657,27.44756699,31.69257736,16.5414753,3.828880072,0,28.77013779,123.4842834
 1:22,82,6.132839203,0.127579942,37.26708221,0.320796132,2.973087311,0.290989667,0.781910777,27.67217255,34.42232895,16.70409584,3.566179037,0,27.07421303,124.598465
 1:23,83,10.01579285,0.353389621,16.57458496,0.354560554,3.286010742,0.244386375,0.815142572,28.74443245,34.10770798,16.81475449,3.627182961,0,27.07421303,125.1555634
 1:27,87,8.272204399,0.835200965,13.48314571,0.447752774,4.149701118,0.441043019,0.78968966,28.74443245,35.76916504,16.82668304,3.4198277,0,26.83611107,125.1555634
 1:29,89,17.46137047,0.973754466,12.24489784,0.814381242,7.547555447,0.625909984,0.725913227,24.53654099,33.50456619,16.19861603,3.707291126,0,28.77013779,119.3989487
 1:33,93,11.82697773,0.792230487,12.24489784,0.663159132,6.146052837,0.540608466,0.764047384,22.5050354,30.10091972,15.81351948,4.072196007,0,31.09110451,117.4491348
 1:39,99,7.337236881,0.585154593,10.56338024,0.147572473,1.367678165,0.282145619,0.781910777,28.31475449,34.85808563,16.84841156,3.485322714,0,26.53993225,125.4341125
 1:48,108,6.870699406,0.760373354,6.779661179,0.310622454,2.878799438,0.26740995,0.78968966,28.17329788,36.07624435,16.84841156,3.435782671,0,26.18663216,125.3412476
 1:50,110,12.12597752,0.43774876,35.92814255,0.814381242,7.547555447,0.506685019,0.788770497,28.27550507,36.01699829,16.90383911,3.435782671,0,26.01084328,128.3123932
 1:55,115,14.92330265,1.068570971,11.90476227,0.814381242,7.547555447,0.588800371,0.764288425,21.45268631,32.03365707,15.59138966,3.828880072,0,31.86384201,114.4779816
 2:01,121,12.12597752,0.43774876,35.92814255,0.663159132,6.146052837,0.506685019,0.764047384,23.64874458,33.31416702,16.11495018,3.707291126,0,31.54066658,118.7490082
 2:07,127,6.870699406,1.600999951,10.56338024,0.147572473,1.367678165,0.294249922,0.780796885,27.44756699,35.37314224,16.74578285,3.471285105,0,26.24535751,124.6912994
 2:12,132,19.44534302,1.600999951,8.547008514,1.066935182,9.888185501,0.815914214,0.788770497,27.67217255,35.67164612,16.72136879,3.435782671,50,26.24535751,124.8770142
 2:19,139,15.35432243,1.657547951,12.19512177,0.722328067,6.694421291,0.625909984,0.78676337,28.10087967,37.33306885,16.76199341,3.31978631,50,25.02550697,124.4127808
 2:26,146,16.7029171,1.401964664,12.14574909,0.899322093,8.334774017,0.625909984,0.788770497,24.53654099,30.6150074,16.1852951,4.004827976,50,31.60516167,119.8631897
 2:32,152,12.64344883,1.776784062,12.76595783,0.899322093,8.334774017,0.540608466,0.764288425,21.21784019,31.69257736,15.59138966,3.828880072,50,33.30649185,115.0350647
 2:38,158,11.44010258,1.657547951,12.19512177,0.80012393,7.415421009,0.623916924,0.725913227,23.19874001,30.81955147,15.81351948,4.004827976,50,31.34758186,116.3349609
 2:43,163,18.98332214,1.401964664,10.54481506,0.80012393,7.415421009,0.657233536,0.759677112,24.53654099,29.39585876,16.19861603,4.155692577,50,31.02715874,119.8631897
 2:49,169,19.44534302,1.776784062,11.67315197,1.02489543,9.498567581,0.80144769,0.725913227,21.33884239,29.44573593,15.59138966,4.180874825,50,39.71741104,115.406456
 2:53,173,16.7029171,1.800251842,10.38062286,1.04861939,9.718437195,0.723961294,0.788770497,24.09139442,29.47506332,15.97556019,4.169157028,50,31.34758186,117.6348267
 2:59,179,18.37857056,1.299347758,9.28792572,1.189063191,11.02004814,0.815914214,0.69359839,19.9047718,30.74131203,15.22583294,4.01454258,50,31.66972923,113.1781006
 3:03,183,18.94667816,1.332582951,13.24503326,1.189063191,11.02004814,0.815914214,0.658057749,19.56178093,28.89505768,15.18025208,4.233848572,50,31.99360085,113.8280487
 3:08,188,17.4800148,1.295051694,8.547008514,0.823915839,7.635920525,0.642359912,0.748174369,21.21784019,29.17862129,15.6313858,4.221561432,50,31.99360085,115.3136139
 3:13,193,18.17773438,1.294272542,9.216589928,1.14451158,10.60715103,0.80144769,0.647461355,19.94802094,30.48525047,15.17344475,4.01454258,50,31.54066658,112.8995514
 3:18,198,19.45630455,1.437752604,11.74168205,1.14451158,10.60715103,0.827628016,0.658057749,19.65467262,29.3106308,15.18025208,4.169157028,50,31.54066658,112.8995514
 3:22,202,22.68988991,1.604711652,13.54401779,1.384996295,12.8359251,0.958961129,0.645733118,19.20284081,28.78741074,15.02395916,4.248077869,50,32.12363434,111.4139862
 3:27,207,18.17773438,1.370679498,13.48314571,1.143174291,10.59475708,0.799344718,0.64519155,18.79047203,28.99847221,14.94271851,4.224909306,50,32.12363434,111.4139862
 3:31,211,19.63682747,1.402717829,16,1.135223746,10.52107239,0.799344718,0.658057749,18.89058113,28.08279419,14.88289165,4.339230537,50,32.97564316,110.6712036
 3:35,215,19.45870018,1.402703404,16,1.135223746,10.52107239,0.808027387,0.64519155,19.03263855,28.95289612,14.91746426,4.232569218,50,32.18875504,110.206955
 3:40,220,17.46137047,1.292626143,15.78947353,1.240448117,11.49627495,0.714035511,0.69359839,19.9047718,29.45733261,15.21819496,4.180874825,50.00000381,30.51803207,113.1781006
 3:43,223,16.97161865,1.430883169,13.82488441,1.143174291,10.59475708,0.714035511,0.659045041,19.70873833,29.08327675,15.15023041,4.224909306,50,31.99360085,112.7138596
 3:48,228,17.85203552,1.295051694,16,1.178926826,10.9261055,0.74016118,0.659045041,19.70873833,28.95289612,15.18025208,4.233848572,50,31.92868614,112.1567764
 3:52,232,18.74974632,1.292626143,13.48314571,1.126321793,10.43857098,0.773157835,0.665702283,19.35259247,29.17862129,15.17344475,4.221561432,50,31.92868614,112.8995514
